puzzle_file,valid,makespan,duration_s
npuzzle_10x10_len10_0.txt,True,6,0.0161
npuzzle_10x10_len10_10.txt,True,2,0.0001
npuzzle_10x10_len10_11.txt,True,8,0.0743
npuzzle_10x10_len10_12.txt,True,2,0.0001
npuzzle_10x10_len10_13.txt,True,4,0.0010
npuzzle_10x10_len10_14.txt,True,6,0.0092
npuzzle_10x10_len10_15.txt,,,
npuzzle_10x10_len10_16.txt,,,
npuzzle_10x10_len10_17.txt,True,4,0.0017
npuzzle_10x10_len10_18.txt,True,2,0.0001
npuzzle_10x10_len10_19.txt,True,4,0.0019
npuzzle_10x10_len10_1.txt,True,4,0.0005
npuzzle_10x10_len10_20.txt,True,6,0.0140
npuzzle_10x10_len10_21.txt,True,6,0.0263
npuzzle_10x10_len10_22.txt,True,8,0.7675
npuzzle_10x10_len10_23.txt,,,
npuzzle_10x10_len10_24.txt,True,2,0.0001
npuzzle_10x10_len10_25.txt,True,6,0.0293
npuzzle_10x10_len10_26.txt,True,10,10.3748
npuzzle_10x10_len10_27.txt,True,4,0.0034
npuzzle_10x10_len10_28.txt,True,4,0.0014
npuzzle_10x10_len10_29.txt,True,4,0.0006
npuzzle_10x10_len10_2.txt,True,4,0.0017
npuzzle_10x10_len10_30.txt,True,6,0.0268
npuzzle_10x10_len10_31.txt,True,6,0.0409
npuzzle_10x10_len10_32.txt,True,6,0.0137
npuzzle_10x10_len10_33.txt,True,8,0.6021
npuzzle_10x10_len10_34.txt,True,4,0.0011
npuzzle_10x10_len10_35.txt,True,4,0.0006
npuzzle_10x10_len10_36.txt,True,6,0.0155
npuzzle_10x10_len10_37.txt,True,6,0.0502
npuzzle_10x10_len10_38.txt,True,2,0.0001
npuzzle_10x10_len10_39.txt,True,2,0.0001
npuzzle_10x10_len10_3.txt,True,8,0.2721
npuzzle_10x10_len10_40.txt,True,6,0.0095
npuzzle_10x10_len10_41.txt,True,6,0.0532
npuzzle_10x10_len10_42.txt,True,4,0.0004
npuzzle_10x10_len10_43.txt,True,4,0.0020
npuzzle_10x10_len10_44.txt,True,4,0.0012
npuzzle_10x10_len10_45.txt,True,6,0.0369
npuzzle_10x10_len10_46.txt,True,6,0.0090
npuzzle_10x10_len10_47.txt,True,8,0.3044
npuzzle_10x10_len10_48.txt,True,4,0.0007
npuzzle_10x10_len10_49.txt,True,4,0.0023
npuzzle_10x10_len10_4.txt,True,4,0.0014
npuzzle_10x10_len10_50.txt,True,2,0.0001
npuzzle_10x10_len10_51.txt,True,8,0.8806
npuzzle_10x10_len10_52.txt,True,4,0.0016
npuzzle_10x10_len10_53.txt,True,4,0.0026
npuzzle_10x10_len10_54.txt,True,4,0.0011
npuzzle_10x10_len10_55.txt,True,6,0.0250
npuzzle_10x10_len10_56.txt,True,6,0.0167
npuzzle_10x10_len10_57.txt,True,2,0.0001
npuzzle_10x10_len10_58.txt,True,6,0.0621
npuzzle_10x10_len10_5.txt,True,4,0.0009
npuzzle_10x10_len10_60.txt,True,6,0.0397
npuzzle_10x10_len10_61.txt,True,2,0.0001
npuzzle_10x10_len10_62.txt,True,6,0.0329
npuzzle_10x10_len10_63.txt,True,6,0.0284
npuzzle_10x10_len10_64.txt,True,4,0.0025
npuzzle_10x10_len10_65.txt,True,2,0.0001
npuzzle_10x10_len10_66.txt,True,2,0.0002
npuzzle_10x10_len10_67.txt,True,6,0.0158
npuzzle_10x10_len10_68.txt,True,4,0.0010
npuzzle_10x10_len10_69.txt,True,8,0.7283
npuzzle_10x10_len10_6.txt,True,4,0.0014
npuzzle_10x10_len10_70.txt,True,8,1.2629
npuzzle_10x10_len10_71.txt,True,8,0.1817
npuzzle_10x10_len10_72.txt,True,8,0.6015
npuzzle_10x10_len10_73.txt,True,2,0.0001
npuzzle_10x10_len10_74.txt,True,8,0.5728
npuzzle_10x10_len10_75.txt,True,4,0.0007
npuzzle_10x10_len10_76.txt,True,2,0.0001
npuzzle_10x10_len10_77.txt,True,6,0.0202
npuzzle_10x10_len10_78.txt,True,6,0.0243
npuzzle_10x10_len10_79.txt,True,4,0.0020
npuzzle_10x10_len10_7.txt,True,8,0.2240
npuzzle_10x10_len10_80.txt,True,8,0.1264
npuzzle_10x10_len10_81.txt,True,8,1.8882
npuzzle_10x10_len10_82.txt,True,8,0.3618
npuzzle_10x10_len10_83.txt,True,4,0.0013
npuzzle_10x10_len10_84.txt,True,6,0.0278
npuzzle_10x10_len10_85.txt,True,10,51.1062
npuzzle_10x10_len10_86.txt,True,8,0.6913
npuzzle_10x10_len10_87.txt,True,4,0.0006
npuzzle_10x10_len10_88.txt,True,8,0.6224
npuzzle_10x10_len10_89.txt,True,6,0.0273
npuzzle_10x10_len10_8.txt,,,
npuzzle_10x10_len10_90.txt,True,6,0.0236
npuzzle_10x10_len10_91.txt,True,8,0.5451
npuzzle_10x10_len10_92.txt,True,6,0.0156
npuzzle_10x10_len10_93.txt,True,6,0.0381
npuzzle_10x10_len10_94.txt,True,2,0.0001
npuzzle_10x10_len10_95.txt,True,8,1.0481
npuzzle_10x10_len10_96.txt,True,6,0.0168
npuzzle_10x10_len10_97.txt,True,6,0.0243
npuzzle_10x10_len10_98.txt,True,4,0.0018
npuzzle_10x10_len10_99.txt,True,4,0.0012
npuzzle_10x10_len10_9.txt,True,6,0.0538
npuzzle_10x10_len1_0.txt,True,1,0.0000
npuzzle_10x10_len1_10.txt,True,1,0.0000
npuzzle_10x10_len1_11.txt,True,1,0.0000
npuzzle_10x10_len1_12.txt,True,1,0.0000
