puzzle_file,valid,makespan,duration_s
npuzzle_10x10_len10_0.txt,True,6,0.0688
npuzzle_10x10_len10_10.txt,True,2,0.0826
npuzzle_10x10_len10_11.txt,True,8,0.0162
npuzzle_10x10_len10_12.txt,True,2,0.0001
npuzzle_10x10_len10_13.txt,True,4,0.0175
npuzzle_10x10_len10_14.txt,True,6,0.0675
npuzzle_10x10_len10_15.txt,,,
npuzzle_10x10_len10_16.txt,,,
npuzzle_10x10_len10_17.txt,True,4,0.0429
npuzzle_10x10_len10_18.txt,True,10,0.0019
npuzzle_10x10_len10_19.txt,True,4,0.1744
npuzzle_10x10_len10_1.txt,True,4,0.0001
npuzzle_10x10_len10_20.txt,True,6,0.0088
npuzzle_10x10_len10_21.txt,True,10,0.0074
npuzzle_10x10_len10_22.txt,True,8,0.1620
npuzzle_10x10_len10_23.txt,,,
npuzzle_10x10_len10_24.txt,True,2,0.0001
npuzzle_10x10_len10_25.txt,True,6,0.1117
npuzzle_10x10_len10_26.txt,True,10,0.0275
npuzzle_10x10_len10_27.txt,True,4,0.0098
npuzzle_10x10_len10_28.txt,True,10,0.0092
npuzzle_10x10_len10_29.txt,True,4,0.0128
npuzzle_10x10_len10_2.txt,True,4,0.1572
npuzzle_10x10_len10_30.txt,True,6,0.0996
npuzzle_10x10_len10_31.txt,True,6,0.1745
npuzzle_10x10_len10_32.txt,True,6,0.0002
npuzzle_10x10_len10_33.txt,True,8,0.1231
npuzzle_10x10_len10_34.txt,True,4,0.0170
npuzzle_10x10_len10_35.txt,True,8,0.0133
npuzzle_10x10_len10_36.txt,True,6,0.0024
npuzzle_10x10_len10_37.txt,True,6,0.2077
npuzzle_10x10_len10_38.txt,True,2,0.0001
npuzzle_10x10_len10_39.txt,True,2,0.0001
npuzzle_10x10_len10_3.txt,True,8,0.0082
npuzzle_10x10_len10_40.txt,True,6,0.0386
npuzzle_10x10_len10_41.txt,True,6,0.1603
npuzzle_10x10_len10_42.txt,True,4,0.0130
npuzzle_10x10_len10_43.txt,True,4,0.1203
npuzzle_10x10_len10_44.txt,True,4,0.1054
npuzzle_10x10_len10_45.txt,True,6,0.1478
npuzzle_10x10_len10_46.txt,True,6,0.0094
npuzzle_10x10_len10_47.txt,True,8,0.0973
npuzzle_10x10_len10_48.txt,True,4,0.0353
